gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners,hh_learners_removed,hh_teams_affected,b_teams,b_learners,b_teams_new,b_learners_new
6846,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6847,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6848,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6849,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6850,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6851,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6852,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6853,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6854,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6855,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6856,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6857,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6858,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6859,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6860,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6861,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6862,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6863,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6864,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6865,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6866,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6867,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6868,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6869,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6870,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6871,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6872,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6873,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6874,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6875,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6876,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6877,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6878,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
